
 ---------- Best Recommend news -----------
test165 cnt:213 / score 0.687753
test331 cnt:463 / score 0.618796
test308 cnt:253 / score 0.612944
test435 cnt:507 / score 0.603122
test333 cnt:281 / score 0.601784

 ---------- Recommend news ----------
test265 cnt:416 / score 0.590123
test370 cnt:843 / score 0.582456
test411 cnt:122 / score 0.566046
test499 cnt:161 / score 0.556791
test471 cnt:118 / score 0.554751
test433 cnt:274 / score 0.548065
test417 cnt:283 / score 0.525913
test206 cnt:395 / score 0.518881
test423 cnt:188 / score 0.512936
test155 cnt:133 / score 0.492078

 ---------- New news ----------
test300 cnt:178 / score 0.485513
test491 cnt:259 / score 0.476511
test37 cnt:135 / score 0.475241
test401 cnt:35 / score 0.475050
test464 cnt:168 / score 0.470238
test309 cnt:218 / score 0.469998
test356 cnt:504 / score 0.468590
test459 cnt:276 / score 0.467642
test177 cnt:187 / score 0.465758
test215 cnt:71 / score 0.463807
test319 cnt:208 / score 0.456618
test293 cnt:348 / score 0.454368
test204 cnt:562 / score 0.453713
test480 cnt:20 / score 0.452279
test136 cnt:154 / score 0.451695
test17 cnt:132 / score 0.447840
test246 cnt:144 / score 0.447036
test460 cnt:120 / score 0.446420
test461 cnt:346 / score 0.446030
test264 cnt:148 / score 0.443691
test19 cnt:188 / score 0.442869
test129 cnt:314 / score 0.441200
test345 cnt:144 / score 0.438534
test200 cnt:256 / score 0.438455
test124 cnt:47 / score 0.437388
test349 cnt:223 / score 0.435445
test476 cnt:145 / score 0.435240
test378 cnt:107 / score 0.432491
test380 cnt:107 / score 0.432491
test261 cnt:27 / score 0.431746
test332 cnt:311 / score 0.430333
test274 cnt:50 / score 0.427330
test20 cnt:175 / score 0.427068
test56 cnt:131 / score 0.425829
test394 cnt:64 / score 0.425365
test498 cnt:354 / score 0.422903
test315 cnt:127 / score 0.422683
test481 cnt:452 / score 0.421527
test243 cnt:305 / score 0.415676
test355 cnt:442 / score 0.412315
test263 cnt:108 / score 0.411843
test354 cnt:607 / score 0.409978
test153 cnt:143 / score 0.407659
test131 cnt:198 / score 0.407470
test406 cnt:226 / score 0.407458
test78 cnt:130 / score 0.407452
test469 cnt:42 / score 0.407387
test352 cnt:589 / score 0.407273
test353 cnt:537 / score 0.406666
test250 cnt:439 / score 0.405198
test62 cnt:118 / score 0.401760
test189 cnt:378 / score 0.400824
test462 cnt:167 / score 0.400401
test227 cnt:184 / score 0.399772
test431 cnt:141 / score 0.399198
test334 cnt:179 / score 0.397034
test110 cnt:42 / score 0.395694
test424 cnt:170 / score 0.394609
test422 cnt:265 / score 0.393011
test53 cnt:996 / score 0.391440
test409 cnt:191 / score 0.390240
test38 cnt:355 / score 0.389160
test361 cnt:20 / score 0.388290
test327 cnt:304 / score 0.388016
test305 cnt:200 / score 0.387510
test442 cnt:167 / score 0.387465
test339 cnt:269 / score 0.386886
test290 cnt:160 / score 0.386502
test16 cnt:177 / score 0.386215
test222 cnt:208 / score 0.386169
test254 cnt:261 / score 0.386093
test235 cnt:270 / score 0.382573
test141 cnt:115 / score 0.382487
test256 cnt:259 / score 0.381158
test205 cnt:197 / score 0.380872
test85 cnt:191 / score 0.380024
test71 cnt:121 / score 0.379877
test40 cnt:184 / score 0.378799
test470 cnt:363 / score 0.377459
test379 cnt:67 / score 0.374744
test490 cnt:76 / score 0.374639
test360 cnt:248 / score 0.374593
